ArabicWord,EnglishMeaning,Link,,
?????,"Pearl , Brilliant , Milk",link to dictionary,,
??????,"Step by Step , Follow , Desk",link to dictionary,,
??????,"Study , Education",link to dictionary,,
?????,"Achievement , Realization , Understanding",link to dictionary,,
?????,"Know , Understand , Inform",link to dictionary,,
?????,"Insert , Penetrate",link to dictionary,,
?????,"Insert , Penetrate",link to dictionary,,
???????,"Silver Coin, Money Cash",link to dictionary,,
?????,"Turn Down , Rebuff",link to dictionary,,
?????,"call , Prayer , Spread",link to dictionary,,
??????,"Push , Repel , Drive Away",link to dictionary,,
???????,Warm,link to dictionary,,
??????,"Flow , Gush , Flow Out",link to dictionary,,
?????,"Pound , Crush , Grind , Thinness",link to dictionary,,
?????,"Flatten , Beat or Press down , Ram",link to dictionary,,
?????,"Guide , Lead , Prove",link to dictionary,,
?????,"Bucket , Inform , Statement, Descend, Inform , Notify",link to dictionary,,
??????,"Perish , Ruin , Destroyed",link to dictionary,,
??????,"Tears , Water of eyes",link to dictionary,,
??????,", Brain, Mark , Refute , Invalidate",link to dictionary,,
????????,"Mutter , Grumble , Growl",link to dictionary,,
??????,"Blood , Bleed",link to dictionary,,
?????,"Close , Near , Inferior, World , Earth",link to dictionary,,
??????,"Befall , Epoch , Eternity",link to dictionary,,
??????,"Full , Abundant , Leader. Grandee",link to dictionary,,
?????,"Resign , Sick",link to dictionary,,
??????,"Sudden , Deep Black",link to dictionary,,
??????,"Oil , Paint , Deceit",link to dictionary,,
???????,"Smart , Shrewd , Calamity",link to dictionary,,
?????,"Turn , Around , House , Period",link to dictionary,,
?????,"Turn , Around , House , Period",link to dictionary,,
?????,"Alternate , Turn , Empire , Power",link to dictionary,,
????,"Without , Below , Administrative",link to dictionary,,
????,"Without , Below , Administrative",link to dictionary,,
?????,"Last , Endure , Continue",link to dictionary,,
?????,"Last , Endure , Continue",link to dictionary,,
?????,"Religion , Faith , Creed ,",link to dictionary,,
?????,"Borrow , Lend Money , Subjugate, Last Judgment,",link to dictionary,,
?????,"Chase Away , Defend , Flies , Tip",link to dictionary,,
???,"This , Therefore",link to dictionary,,
??????,"Slaughter , Kill , Murder",link to dictionary,,
????????,"Swinging , Oscillating",link to dictionary,,
?????,Wolf,link to dictionary,,
??????,"Measure , Beyond one power",link to dictionary,,
?????,"Strew , Scatter , Tiny particle , Progeny , Descendants",link to dictionary,,
??????,"Measure , Beyond one power",link to dictionary,,
?????,"Strew , Scatter , Tiny particle , Progeny , Descendants",link to dictionary,,
?????,"Blow Away , Peak , Refuge",link to dictionary,,
??????,"Submit , yield , Compliance",link to dictionary,,
??????,"Remember , Recall , Report , Reminder , male",link to dictionary,,
?????,"Beard , Chin",link to dictionary,,
?????,"Lowly , Submissive , Humble",link to dictionary,,
?????,"Blame , Conscience",link to dictionary,,
?????,"Blame , Conscience",link to dictionary,,
?????,"Offense , Sin , Crime , Guilty",link to dictionary,,
??????,"Go Away , Depart , Gold ,",link to dictionary,,
??????,"Distracted , Alarm , Confused",link to dictionary,,
???,"Possessor , Power , Provided",link to dictionary,,
?????,"Spread , Circulate",link to dictionary,,
?????,"Taste, Test, Try, Experience,",link to dictionary,,
?????,"Drive Away , Defend , Protect",link to dictionary,,
??????,"Head , Chief , Leader , Cape",link to dictionary,,
?????,"See , Perceive , Duty , Consider , Regard",link to dictionary,,
??????,"Mercy , Pity Compassionate",link to dictionary,,
?????,"Lord , Master , Owner , Foster father",link to dictionary,,
??????,"High Esteem , Protect , Guard",link to dictionary,,
??????,"Tie Up , Fasten , Tie Up , Connect",link to dictionary,,
??????,"Gain , Profit , Win",link to dictionary,,
??????,"Wait , Lookout , Ambush",link to dictionary,,
??????,"Commence , Home , Residence , 3 rd and 4th month of Islamic year",link to dictionary,,
?????,"Grow , Increase , Exceed , educate a child , Usury",link to dictionary,,
??????,"Pasture , Graze , Breeding Ground",link to dictionary,,
??????,"Mend , Repair , Patch up",link to dictionary,,
??????,"Well Ordered , Slow and distinct reading of Quran",link to dictionary,,
?????,"Shake , Rock , Tremor",link to dictionary,,
???,"Postpone , Differ",link to dictionary,,
??????,"Dirty , Filthy , Unclean",link to dictionary,,
??????,"Come Back , Return , Resume",link to dictionary,,
??????,"Uncleanness, Punishment , Sin , Unbelief",link to dictionary,,
??????,"Tremble , Shake , Shiver",link to dictionary,,
?????,"Hope , Look Forward , Region , Side , Direction",link to dictionary,,
??????,"Walk , Foot , Manhood",link to dictionary,,
?????,"Hope , Look Forward , Region , Side , Direction",link to dictionary,,
??????,"Stone to death , Conjecture , Guesswork , Shooting Star",link to dictionary,,
??????,"Emigrate , Luggage , Departure , Leave",link to dictionary,,
??????,"Nectar , Delicious Drink ,",link to dictionary,,
??????,"Wide , generous , Welcome",link to dictionary,,
??????,"Wide , generous , Welcome",link to dictionary,,
??????,"Merciful , Compassionate",link to dictionary,,
?????,"Light Shower , Rock , Castle , Soft",link to dictionary,,
??????,"Frivolous , Careless, Thoughtless",link to dictionary,,
?????,"Graze , Guard , Protect , Pasture , Respect , Citizenship",link to dictionary,,
??????,"Easy , Pleasant , Comfort",link to dictionary,,
??????,"Desire , Want , Prefer",link to dictionary,,
????????,"Cushion , Pad , Flap wings",link to dictionary,,
??????,"Break , Crush , Reject , Corpse",link to dictionary,,
??????,Obscene,link to dictionary,,
???????,"Support , Gift",link to dictionary,,
??????,"Raise , Elevate , Higher Rank , High , Exalted",link to dictionary,,
??????,"Kind , Company , Companion , Friend, Elbow, Profit",link to dictionary,,
?????,"Thin , Flatten , Delicate , Slave",link to dictionary,,
??????,"Guard , Greed , Fear of God , Neck , Slave",link to dictionary,,
??????,"Sleep , Lie Down , Resting Place , Bed",link to dictionary,,
??????,"Write , Brand , Mark , Inscription , Number",link to dictionary,,
??????,"Climb , Ascend , Rise",link to dictionary,,
??????,"Ride , Travel , Embark",link to dictionary,,
??????,"Motion Less , Still , Stagnant",link to dictionary,,
??????,"Power, Position, Embed in the ground , Station, Post, Pause , Buried Treasure , Center",link to dictionary,,
??????,"Setback , Decline",link to dictionary,,
??????,"Run away , Gallop , Agitated , Stir",link to dictionary,,
??????,"bow down in prayer , kneeling , Prostration",link to dictionary,,
??????,"Pile up , accumulate , Heap",link to dictionary,,
??????,"Calm , Support , Element , Firm",link to dictionary,,
??????,"Burn to ashes, Sore Eyes",link to dictionary,,
??????,"Sign , Symbol , Secret Sign",link to dictionary,,
?????,"Repair , Decay , Decaying Bones",link to dictionary,,
?????,"Throw , Fling , Hurl",link to dictionary,,
????????,Pomegranate,link to dictionary,,
?????,"Throw , Fling , Hurl",link to dictionary,,
??????,"Fear , Fright , Terror , Monk",link to dictionary,,
??????,"Gulp , Greedy , Group , Band",link to dictionary,,
??????,"Pawn , Deposit , Mortgage",link to dictionary,,
??????,"Overtake , Approach , Puberty , Oppress",link to dictionary,,
?????,"Curdle , Curdle of Milk",link to dictionary,,
?????,"Leave , Wind , Breath , Rest , Free",link to dictionary,,
?????,"calm , Peace",link to dictionary,,
?????,"Look , Search , Visit , Want , desire",link to dictionary,,
?????,"Look , Search , Visit , Want , desire",link to dictionary,,
?????,"Train , garden , Mathematics , Exercise",link to dictionary,,
?????,"Frighten , Alarm , Surprise",link to dictionary,,
?????,"Doubt , Question , Skeptical",link to dictionary,,
??????,"Irrigate , Water , narrate , Novel",link to dictionary,,
?????,"Feathers , Clothes , Wealthy",link to dictionary,,
?????,"Seize , Overcome , Prevail",link to dictionary,,
?????,"Increase , Grow , Flourish , Profit , Interest",link to dictionary,,
?????,Psalms,link to dictionary,,
??????,"Foam , Butter , Cream",link to dictionary,,
??????,"Foolish , Stupid , Client , Claw , Angels who torment the damned in Hell",link to dictionary,,
?????,"Throw , Hurl , Push , Glass , Bottle , Flask",link to dictionary,,
?????,"Push , Urge , Force , Spend",link to dictionary,,
??????,"Hold Back , Drive Away , Scold , Rebuke",link to dictionary,,
????????,"To Move , Remove, Budge",link to dictionary,,
?????,"Creep , Crawl, March , Advance",link to dictionary,,
????????,"Adorn , Decorate , Ornament",link to dictionary,,
??????,"Flow , Watercourse , Pillow , Rug",link to dictionary,,
??????,"Plant , Cultivate , Farmer , Agriculture",link to dictionary,,
??????,"Blue , Real Enemy",link to dictionary,,
??????,"Maintain , Claim , Believe , Leadership",link to dictionary,,
??????,"Sigh , Moan , Grease",link to dictionary,,
?????,"Hasten , Hurry",link to dictionary,,
?????,"Feed , Skin , Lane Alley",link to dictionary,,
?????,"Grow , Righteous , Pure",link to dictionary,,
????????,"Earthquake , Shake Violently",link to dictionary,,
?????,"Slip , Commit a sin , Mistake",link to dictionary,,
??????,"Near , Close",link to dictionary,,
??????,"Near , Close",link to dictionary,,
??????,"Slip , Slide",link to dictionary,,
??????,"Troop , Group , Play blow instrument",link to dictionary,,
??????,"Err, Make Mistake, Headless arrow uswed in divination",link to dictionary,,
????????,"Intensely Cold , Angry",link to dictionary,,
???,"Party , Companion",link to dictionary,,
??????,"Shine , Radiant, Flower",link to dictionary,,
?????,Adultery,link to dictionary,,
?????,Adultery,link to dictionary,,
??????,"Abstain , Withdraw , Forsake",link to dictionary,,
?????,"Pair , Couple",link to dictionary,,
??????,"Pass away , Perish",link to dictionary,,
?????,"Supply , Provision , Contractor",link to dictionary,,
?????,"Visit , Force , Incline, Falsehood",link to dictionary,,
?????,"Deviate from Truth , Swindle",link to dictionary,,
?????,"Disappear , Vanish , Remove , Passing",link to dictionary,,
?????,Oil,link to dictionary,,
?????,"Grow , Increase , Multiply",link to dictionary,,
?????,"Decorate , Adorn , Beautiful",link to dictionary,,
??????,"Demand , Request , Begging",link to dictionary,,
?????,"Insult , Call Names, Rope, Means, Cause",link to dictionary,,
??????,"Rest , Saturday",link to dictionary,,
??????,"Swim , Praise , How far God is away from Imperfection",link to dictionary,,
??????,"Tribe , Shoe , Lank of Hair, Grandson, Shapely, Generous,",link to dictionary,,
?????,"Predatory , Seven",link to dictionary,,
??????,"Long , Wide , Abundant , Properly, Attribute, Perform Properly,",link to dictionary,,
??????,"Long , Wide , Abundant , Properly, Attribute, Perform Properly,",link to dictionary,,
??????,"Precede , Come , go , act",link to dictionary,,
??????,"Cover , Veil , Hide , Protect",link to dictionary,,
??????,"Sixteen , Six",link to dictionary,,
??????,"Way , Road , Access , Way",link to dictionary,,
??????,"Bow down , Prostrate , Worship",link to dictionary,,
??????,"Way , Road , Access , Way",link to dictionary,,
??????,"Documents , Records , Pouring",link to dictionary,,
??????,"Jail , Imprisoned , Captive",link to dictionary,,
?????,"Calm , Quite of the night sea , nature , Disposition",link to dictionary,,
?????,"Calm , Quite of the night sea , nature , Disposition",link to dictionary,,
??????,"Cloud, Pull , Drag , Dispose , Strip",link to dictionary,,
??????,"Magic , Charm , Daybreak",link to dictionary,,
??????,"Distant, Remote, Depth, Crush , Pound , Pulverize",link to dictionary,,
??????,"Forbidden , Illegal",link to dictionary,,
??????,"Scrap, Smooth, Plane, Coast, Seashore",link to dictionary,,
??????,"Subjugate, Subservient, Employ, Exploit , Mock , Ridicule , Laugh , Oppressed",link to dictionary,,
??????,"Angry , Annoyed , Discontent",link to dictionary,,
?????,", Obstruct, Close , Block , Oppressed, Payment, Right thing to Say",link to dictionary,,
?????,", Obstruct, Close , Block , Oppressed",link to dictionary,,
??????,"Lotus Tree , To Achieve ultimate Results , Confused",link to dictionary,,
??????,"Warp , Prevailing Character , Dominant Theme, In Vain, Uselessly,",link to dictionary,,
??????,"One Sixth , Six Fold ,",link to dictionary,,
??????,"Flow , Flock , Swarm , Mirage",link to dictionary,,
?????,"Make Happy , Secret , Secret meaning of Quran",link to dictionary,,
?????,"Make Happy , Secret , Secret meaning of Quran",link to dictionary,,
????????,"Large Tent , Canopy , Pavilion",link to dictionary,,
??????,"Go away, roam freely , Pasture , Let go from Divorce",link to dictionary,,
??????,"Pierce , Perforate , Quote",link to dictionary,,
????????,"Wrap , Clothed , Covered",link to dictionary,,
?????,"Lamp , Light",link to dictionary,,
?????,"waste , Extravagant , Squander",link to dictionary,,
??????,"Steal , Rob , Theft",link to dictionary,,
??????,"quick , Fast , Rapid , Hurry",link to dictionary,,
???????,Eternity,link to dictionary,,
?????,"Travel by night , Enforce , Apply, Creek , Brook , Spread",link to dictionary,,
?????,"Travel by night , Enforce , Apply, Creek , Brook , Spread",link to dictionary,,
??????,"Rules , Draw Lines , Write , Record",link to dictionary,,
??????,"Spread , Level , Flatten , Surface'",link to dictionary,,
?????,"Assault , Attack , Burglary",link to dictionary,,
??????,"Kindle , Flare up , Start , Become Mad",link to dictionary,,
??????,"Kindle , Flare up , Start , Become Mad",link to dictionary,,
??????,"Happy , Fortunate , Help , support",link to dictionary,,
??????,"Starve , Hungry",link to dictionary,,
??????,"Spill , Blood Shed , Fornicate",link to dictionary,,
?????,"Run , Speed , Attempt , Strive",link to dictionary,,
??????,"Travel , Passenger , Unveil , Embassy , Book (one of Scripture)",link to dictionary,,
??????,"Bloodshed , Murder",link to dictionary,,
??????,"Low , Despicable , Lowly People",link to dictionary,,
??????,"Stupid , Foolish , Incompetent",link to dictionary,,
??????,"Fall , Drop , Slip",link to dictionary,,
?????,"Ship , Boat , Vessel",link to dictionary,,
??????,"Become Sick , Illness , Thinness",link to dictionary,,
?????,"Drink , Water , Irrigate",link to dictionary,,
??????,"Roof , Ceiling",link to dictionary,,
??????,"Silent, Quite , Calm, Stroke,",link to dictionary,,
??????,"Drunk , Intoxicated",link to dictionary,,
??????,"Drunk , Intoxicated",link to dictionary,,
??????,"Drunk , Intoxicated",link to dictionary,,
?????,"Pour Out , Melting Pot",link to dictionary,,
??????,"Still , Calm Down , Inhabitation , Dwelling",link to dictionary,,
??????,"Take , Snatch , Steal , Robbing",link to dictionary,,
?????,"Withdraw , Gently , Basket",link to dictionary,,
?????,"Withdraw , Gently , Basket",link to dictionary,,
??????,"Strip , Skin , Detach, Pass, Withdraw, End of month , Abandon, Cast off",link to dictionary,,
????????,"Link Together , Connect , Chain",link to dictionary,,
?????,"Power , Authority , Strong , Firm",link to dictionary,,
??????,"Past , Precede , Forefathers , Ancestors",link to dictionary,,
??????,"Vicarious tongue , Climbing , Ascend",link to dictionary,,
??????,"Follow , Insert , Proceed , Thread",link to dictionary,,
?????,"Power , Authority , Strong , Firm",link to dictionary,,
??????,", Safe , Sound , Peaceful , Sound , Perfect , Ladder, Stair case, Complete",link to dictionary,,
?????,"Poison , Venom , Eye of a needle, Hot Wind",link to dictionary,,
???,"Forget, Consolation, Comfort.",link to dictionary,,
??????,"Raise ones head proudly , Fertilizer",link to dictionary,,
??????,"Pleasant , night of Entertainment",link to dictionary,,
??????,"Hear , Listen , Pay Attention",link to dictionary,,
?????,"Fish , Roof , Ceiling , Thickness",link to dictionary,,
?????,"Sky , Heaven , High , Exalted",link to dictionary,,
??????,"Fat , Put On Weight , Butter",link to dictionary,,
?????,"Name , Sense , In the name of God , For a limited period",link to dictionary,,
?????,"Name , Sense , In the name of God , For a limited period",link to dictionary,,
?????,"Sharpen , Establish Law , Prong , Fang , Tip , Tooth , Age",link to dictionary,,
???????,Ear of grain,link to dictionary,,
??????,"Support one self , Authority , Document , Chain of Authorities of Islamic rule",link to dictionary,,
???????,"Silk , Brocade",link to dictionary,,
?????,"Shine , Flash of light (Lightning) , Brilliant",link to dictionary,,
?????,"Annually , Spoil , Stale of food",link to dictionary,,
??????,"Year , Annual , Yearly",link to dictionary,,
??????,"Even of the Ground , Smooth , Easier",link to dictionary,,
??????,"Year , Annual , Yearly",link to dictionary,,
??????,"Pass the night , Awake , Evening Show",link to dictionary,,
???,"Height , Peak , To Ascend to greatest honor",link to dictionary,,
?????,"Inattentive , Neglect , Forget",link to dictionary,,
??? ??,"Bad , Evil , Unfortunate",link to dictionary,,
??? ??,"Bad , Evil , Unfortunate",link to dictionary,,
?????,"Master , Head , Chief , Ruler , Governor",link to dictionary,,
??????,"Black , dark , Arable Land , Mass , Disgrace",link to dictionary,,
??????,"Black , dark , Arable Land , Mass , Disgrace",link to dictionary,,
????,"Fence , Wall , Fortification , Chapter of Quran , Assault",link to dictionary,,
?????,"Whip , Lash , Flog",link to dictionary,,
??????,"Short Time , Hour , Watch , Clock",link to dictionary,,
?????,"Easy to Swallow , Tasty , Permissible",link to dictionary,,
??????,"Bracelet , Armband , Cuff",link to dictionary,,
?????,"Trunk, Stem , Drive , Herd , Carry Away , Market , Leg,",link to dictionary,,
?????,"Offer , Sale , Bargain , Graze freely",link to dictionary,,
??????,"Question , Ask , Demand , Request",link to dictionary,,
??????,"Equal , Correct , Equator , Mount , Sit on",link to dictionary,,
?????,"Flow, Flood, , Stream , River Bed, Melting ,",link to dictionary,,
?????,"Start , Depart , March , Way of life",link to dictionary,,
?????,"Start , Depart , March , Automobile , Taxicab , Way of life",link to dictionary,,
???,"Travel , Journey , Flow , Dissolve , Melt",link to dictionary,,
?????,"Travel , Journey , Flow , Dissolve , Melt",link to dictionary,,
?????,"Flow , Flood , Torrent",link to dictionary,,
?????,"Flow , Flood , Torrent",link to dictionary,,
??????,"Mark , Characteristic , Expression",link to dictionary,,
?????,"Matter , Affairs , Business",link to dictionary,,
????,"Resemblance , Doubt , Image , Suspicion , Obscure",link to dictionary,,
?????,"Scatter , Disperse , Diverse",link to dictionary,,
?????,"Winter , Rain",link to dictionary,,
??????,"Trees , Wood , Branch , Quarrel , pierce",link to dictionary,,
??????,"Load , Ship , Police , Cargo , hate",link to dictionary,,
??????,"Fat , Grease , Lubricant",link to dictionary,,
?????,"Niggardly , Greedy , Scarce",link to dictionary,,
??????,"Rise , Appear , Stare , Gaze , Leave , Dispatch , Person , Individual , Diagnose",link to dictionary,,
?????,"Very , Very often , firm , strong",link to dictionary,,
??????,"Cut , Open , Describe , Explain",link to dictionary,,
??????,"Drink , Soup",link to dictionary,,
?????,"Evil , Ill , Harm , Wicked",link to dictionary,,
??????,"Flee , Running Away , Defector",link to dictionary,,
??????,"Rip Open , Condition , Contract , Police , Scratch , Agreement",link to dictionary,,
??????????,"Group , Band",link to dictionary,,
??????,"Begin , start , Make Laws , Legality",link to dictionary,,
??????,"Begin , start , Make Laws , Legality",link to dictionary,,
??????,"East , Place of rise , Shine , Radiance",link to dictionary,,
??????,"Share , Partner , Idolatry , False",link to dictionary,,
??????,"Cut off , Rip off",link to dictionary,,
?????,"Buy , Purchase , Artery , Jupiter , Exposed to the sun for drying",link to dictionary,,
???????,"Sea Shore , Coast , Beach",link to dictionary,,
??????,"Bisect , Severe , Share , Division , Direction , Towards , Clever",link to dictionary,,
?????,"Go too far , Excessive , Coast , shore , bank",link to dictionary,,
??????,"Splintered , Shatter , Shinbone , Bone",link to dictionary,,
???,"People , Nation , Branch , twig , Eighth month of the year",link to dictionary,,
??????,"Sense , Realize , Poetry , Barley , Hair ,",link to dictionary,,
??????,"Sense , Realize , Poetry , Barley , Hair ,",link to dictionary,,
??????,"Light , Set on Fire , Blaze , Flame",link to dictionary,,
??????,"Infatuated , Extremely in fond of love ,",link to dictionary,,
??????,"Busy , Occupation , Job , Business",link to dictionary,,
??????,"Intercessor , Mediator , Double , Even",link to dictionary,,
??????,"Twilight, Dusk, Pity , Sympathy , Compassionate",link to dictionary,,
?????,"Edge , Brink , Oral , Doomed to death",link to dictionary,,
?????,"Split , Tear , Break , Hardship",link to dictionary,,
?????,"Cure , Heal , Health , Hospital",link to dictionary,,
??????,"Quarrel , Dispute , Ill-tempered",link to dictionary,,
?????,", Hardship, Distress,Misreable, Naughtgy, Outlaw, Crimnal",link to dictionary,,
??????,"Thank , Gratitude , Acknowledge , Praise",link to dictionary,,
?????,"Doubt , Suspect , Pierce",link to dictionary,,
?????,"Niche , Lamp , Complain , Grievance",link to dictionary,,
??????,"Way , Figure , Shape , Difficulty , Sort",link to dictionary,,
??????,"Way , Figure , Shape , Difficulty , Sort",link to dictionary,,
??????,"High , Lofty , Arrogant , Haughty",link to dictionary,,
?????,"Proud , Haughty , Smell",link to dictionary,,
??????,"to hate, hatred",link to dictionary,,
????,"Disgust , Nauseated",link to dictionary,,
??????,"Sun , Sunrise , Bright",link to dictionary,,
??????,"Contain, Comprise , Inclusion",link to dictionary,,
??????,"North , Left",link to dictionary,,
??????,"Witness , Confirm , Certify , Honey",link to dictionary,,
??????,"Blaze , Fire , Shooting Star , Meteor , Gray",link to dictionary,,
?????,"Desire , Crave , Appetite , Passion , Lewd ,",link to dictionary,,
??????,"Well known , Famous , Spread , Monthly",link to dictionary,,
??????,"Bray of Donkey , Sigh Deeply , Sob , Moan , Inhale , Lofty , Heights",link to dictionary,,
????,"Mix , Adulterate , Hot wind",link to dictionary,,
????,"Council , Advise , Point out , Indicate",link to dictionary,,
?????,"Sting , Prick , Thorne , Spike, Bravery , Might",link to dictionary,,
?????,"Broil , Grill , Roast",link to dictionary,,
?????,"Gray Hair , Old Age",link to dictionary,,
?????,"Old Man , Elder , Chief , Sheikh",link to dictionary,,
??????,"Satan , Devil , Infernal",link to dictionary,,
?????,"Erect , Build , High Lofty , Praise , Commend",link to dictionary,,
?????,"Will , Desire , God Willing , Thing , Something , Gradually",link to dictionary,,
?????,"Sect, Partner, Spread , Dominate , Followers , Shiites",link to dictionary,,
??????,"Patient , Endue , Refrain , Abstain",link to dictionary,,
?????,"Pour , cast , Flow , Befall , Apply oneself , Passionately in Love",link to dictionary,,
??????,"Morning , Beautiful , Graceful , Radiant",link to dictionary,,
?????,"Child , Youth ,",link to dictionary,,
??????,"Finger , Toe , Point with the finger",link to dictionary,,
??????,"Appearance, Nature, Character , Dye , Color , Transform",link to dictionary,,
??????,"Friend , Companion , Leader of Dervish order",link to dictionary,,
??????,"Stone , Rock , Boulder",link to dictionary,,
?????,"Turn away , Repel , stop , Prevention , Purpose , Subject , Regard",link to dictionary,,
???,"Dish , Page , Leaf , Sheet , Press , Journalism",link to dictionary,,
??????,"To go out , Chest , Breast , Bosom , Heart , Presidency , Verbal Noun",link to dictionary,,
??????,"To Turn away , Meet accidentally , Coincidence",link to dictionary,,
??????,"Reveal the truth, Break , Crack , Overcome , Headache",link to dictionary,,
??????,"Speak the truth , Tell the truth , Prove to be true , Alms , Charity , Confirmation",link to dictionary,,
??????,"Very Thirsty , Echo , Oppose",link to dictionary,,
?????,"Persist , Insist , Determined , Willfulness , Screeching",link to dictionary,,
??????,"Cry , Shout , Cry for help",link to dictionary,,
??????,"Throw down , Fell , Wrestle",link to dictionary,,
??????,"Turning away , Money Change , Canal , Drain , bank , Conjugate Verb , Act without restriction",link to dictionary,,
??????,"Persist , Insist , Determined , Willfulness , Screeching",link to dictionary,,
??????,"Pure , Clear , Castle , Permission",link to dictionary,,
??????,"Way Path , Straight Path",link to dictionary,,
??????,"Cut, Sharp , Hard , Severe , Elapsed time",link to dictionary,,
??????,"Sharp , Hard , Severe , Elapsed time",link to dictionary,,
??????,"Crush , Destroy , Struck by Lightning , Thunderbolt.",link to dictionary,,
??????,"Rise , Go up , Climb , Ascend , Highland , Plateau",link to dictionary,,
??????,"Small , Decrease , Young , Base , Minor",link to dictionary,,
?????,"Incline , Listen , Attentive , Heeding ,",link to dictionary,,
?????,"Incline , Listen , Attentive , Heeding ,",link to dictionary,,
?????,"Incline , Listen , Attentive , Heeding ,",link to dictionary,,
??????,"Flatten , Plate , Turn away , Surface , Page , Armor , Forgiving",link to dictionary,,
??????,"Bind , Shackle , Handcuff",link to dictionary,,
?????,"Line up , Align , Arrange , Group",link to dictionary,,
?????,"Clear , Pure , Serene , Happiness , Refine",link to dictionary,,
?????,"Clear , Pure , Serene , Happiness , Refine",link to dictionary,,
?????,"Brass, Gold, Yellow, Money",link to dictionary,,
?????,"Document , Contractor , Cheek",link to dictionary,,
??????,"Good , Right , Pious , Righteous , Authority , Ability , Power",link to dictionary,,
??????,"Solid , Hard , Arid",link to dictionary,,
????????,"Dry Clay , Ring , Clatter",link to dictionary,,
??????,"Crucify , Cross",link to dictionary,,
???,"Pray , Worship , God Bless him and Grant Salvation to Prophet Mohammad",link to dictionary,,
?????,"Roast , Broil , Burn , Warm One self",link to dictionary,,
?????,"Roast , Broil , Burn , Warm One self",link to dictionary,,
??????,"Silent , Still ,",link to dictionary,,
??????,"Eternal , Everlasting , To Go",link to dictionary,,
?????,"Deaf , Close , Resolve",link to dictionary,,
????????,"Monks call , Hermitage",link to dictionary,,
??????,"Make , Manufacture , Build , Profession",link to dictionary,,
?????,"Every Place , Right , Proper , Correct , Reason , Mind , Consciousness, Fall, Hit,",link to dictionary,,
?????,"Idol , image",link to dictionary,,
??????,"Relationship by Marriage , Melt",link to dictionary,,
??????,"Relationship by Marriage , Melt",link to dictionary,,
?????,"One of a pair , twin brother",link to dictionary,,
?????,"Sound , Voice , Fame , Acoustic , Vote",link to dictionary,,
?????,To Listen,link to dictionary,,
???,"Creator , Fashioner , Form , Picture , Image , Horn , Bugle",link to dictionary,,
????,"Cubic Measure , Salon , Submit",link to dictionary,,
????,"Abstain , Fast , Fasting",link to dictionary,,
????,"Wool, Sufi",link to dictionary,,
?????,"Cry , Shout , Scream",link to dictionary,,
?????,"Hunt , Trap , Net",link to dictionary,,
?????,"Begin , Start , End , Fate , Destiny , End , Result",link to dictionary,,
?????,Summer,link to dictionary,,
?????,"Begin , Start , End , Fate , Destiny , End , Result",link to dictionary,,
??????,"Sheep , Mutton",link to dictionary,,
?????,"become Visible , Appear , Forenoon , Slaughter animal",link to dictionary,,
??????,"Laugh , Ridicule , Mock , Fool",link to dictionary,,
??????,"Lie down , Sleep , Bed , Bedroom",link to dictionary,,
?????,"Contrast , Against , Opposed",link to dictionary,,
?????,"Harm , Distress , Good and Bad times , Udder , Austerity , Necessary",link to dictionary,,
??????,"Beat , Strike , Knock , Abstain, Turn away , Move , Travel , Make an appointment , Multiply , Example",link to dictionary,,
?????,"Spurt , Squirt , Pump",link to dictionary,,
?????,"Harm , Distress , Good and Bad times , Udder , Austerity , Necessary",link to dictionary,,
??????,"Beat , Strike , Knock , Turn away , Move , Travel , Make an appointment , Multiply , Example",link to dictionary,,
?????,"Harm , Distress , Good and Bad times , Udder , Austerity , Necessary",link to dictionary,,
?????,"Harm , Distress , Good and Bad times , Udder , Austerity , Necessary",link to dictionary,,
??????,"To Implore , Udder , Teat , Agriculture and stock Farming , Implore , Supplication , Submission",link to dictionary,,
??????,"Humble , Udder , Teat , Agriculture and stock Farming , Implore , Supplication , Submission",link to dictionary,,
??????,"Weak , Impairment , Oppressed",link to dictionary,,
??????,"Double , Multiply , Many times",link to dictionary,,
??????,"Grudge , Resent , Secret Hatred",link to dictionary,,
??????,"Double , Multiply , Many times",link to dictionary,,
??????,Frog,link to dictionary,,
?????,"Lose one's way , Stray , False hood , Mislead",link to dictionary,,
?????,"Confuse , Confused dreams , Bouquet",link to dictionary,,
??????,"Lean , Contract , Heart , Mind , Conscientious",link to dictionary,,
?????,"Join , Unite , Attach , Vowel",link to dictionary,,
?????,"Glean , Light , Shine , Glow",link to dictionary,,
??????,"Straitened , Weak , Exhausted , Poverty , Hard",link to dictionary,,
?????,"stingy , Thrifty",link to dictionary,,
?????,"Similar , Like , Analogous",link to dictionary,,
?????,"Harm , Wrong",link to dictionary,,
?????,"Lost , Waste , Neglect , Omission",link to dictionary,,
?????,"Lost , Waste , Neglect , Omission",link to dictionary,,
?????,"Guest , Hospitality , Addition , second member of a construct phrase",link to dictionary,,
?????,"Become narrow , tired , Anguished , Life depressed him",link to dictionary,,
?????,"Become narrow , tired , Anguished , Life depressed him",link to dictionary,,
??????,"Print , Nature , Character",link to dictionary,,
??????,"Plate , Layer , Story of a building , Class , Agreement , conformity , Close , Shut , Apply , Correspondence , Fitting",link to dictionary,,
??????,"Throw down , Discarded , Present , Submit , Miscarry",link to dictionary,,
??????,"Drive Away , Expel",link to dictionary,,
