ArabicWord,EnglishMeaning,Link,
خَضَرَ,"Green , Herbs , vegetation",link to dictionary,
خَضَعَ,"Bow , Submit , Surrender",link to dictionary,
خَطَّ,"Line , Writing , Script",link to dictionary,
خَطِيءَ,"Mistake , Error , fault",link to dictionary,
خَطَبَ,"Speech , Matter , Concern",link to dictionary,
خَطِفَ,"Grab, Sieze, Snatch, Sudden, Short",link to dictionary,
خَفَّ,"Lighter , Insignificant , Decrease",link to dictionary,
خَفَتَ,"Inaudible , Fading , Silence",link to dictionary,
خَفَضَ,"Lower , Decrease , Soft",link to dictionary,
خَفَيَ,"Hidden , Secret , Missing",link to dictionary,
خَلَّ,"Gap , Friend , Defective",link to dictionary,
خَلَدَ,"Eternal , Immortal , Perpetuation",link to dictionary,
خَلَصَ,"Pure , Finish , Short , Escape",link to dictionary,
خَلَطَ,"Mix , Associate , Mingle",link to dictionary,
خَلَطَ,"Mix , Associate , Mingle",link to dictionary,
خَلَعَ,"Remove , Extract , Dislocate",link to dictionary,
خَلَفَ,"Succeed , Behind , Rear",link to dictionary,
خَلَقَ,"Create , Nature , Mankind , Disposition",link to dictionary,
خَلَا,"Vacant , Free , Surrender",link to dictionary,
خَمَدَ,"Go Out , Die , Extinct",link to dictionary,
خَمَرَ,"Cover , Wine , Alcohol , Reddish Brown",link to dictionary,
خَمَرَ,"Cover , Wine , Alcohol , Reddish Brown",link to dictionary,
خَمَصَ,"Empty , Hungary",link to dictionary,
خمس,"Fifth , Thursday , Pentagon",link to dictionary,
خَنَسَ,"Hide , Epithet of Devil",link to dictionary,
خَنَقَ,"Choke , Strangle , Quarrel",link to dictionary,
خِنْزِير,"Pig , Swine , Hog",link to dictionary,
خَاضَ,"Rush , Engaged , Absorbed",link to dictionary,
خَال,"Maternal Uncle , Mole, Aunt, Supervisor, Give, Grant, Bestow",link to dictionary,
خَانَ,"Disloyal , Betray , Distrust",link to dictionary,
خَال,"Maternal Uncle , Mole, Aunt, Supervisor",link to dictionary,
خَافَ,"Fear , Scared , Timid",link to dictionary,
خَابَ,"Fail , Unsuccessful , frustrate",link to dictionary,
خَارَ,"To Low , Moo of cattle, Grow, Weak, Bellowing, Mooing",link to dictionary,
خَوَى,"Empty , Hunger , Vacant",link to dictionary,
خَيرَ,"Choose , Good , Charity , Prefer",link to dictionary,
خَاطَ,"Sew , Stitch , Thread , Cord",link to dictionary,
خَالَ,"Imaginary , Unreal , Proud , Horse",link to dictionary,
خَام,"Raw , Inclination , Stay , Camp",link to dictionary,
دَأَبَ,"Persist , Persevere, Eagerness, Habit,",link to dictionary,
دَأْبِ,"Persist , Persevere, Eagerness, Habit,",link to dictionary,
دَبَرَ,"Turn One's Back , Rear , End , Organize , Consider",link to dictionary,
دَبَّ,"Creep , Spread , Bear , Animal",link to dictionary,
دَبَّ,"Creep , Spread , Bear , Animal",link to dictionary,
دَثَرَ,"Obliterated , Wiped Out , Wrap One self",link to dictionary,
دَحَرَ,"Drive Away , Repel , Remove",link to dictionary,
دَحَضَ,"Void , Invalid , Disprove",link to dictionary,
دَخَلَ,"Penetrate , Internal",link to dictionary,
دَخَنَ,"Smoke , Vapor , Fume",link to dictionary,
دَخَنَ,"Smoke , Vapor , Fume",link to dictionary,
دَرَأَ,"Repel , Ward off",link to dictionary,
دَرَّ,"Pearl , Brilliant , Milk",link to dictionary,
دَرَجَ,"Step by Step , Follow , Desk",link to dictionary,
دَرَسَ,"Study , Education",link to dictionary,
دَرَك,"Achievement , Realization , Understanding",link to dictionary,
دَرَى,"Know , Understand , Inform",link to dictionary,
دَسَّ,"Insert , Penetrate",link to dictionary,
دَسَّ,"Insert , Penetrate",link to dictionary,
دِرْهمَ,"Silver Coin, Money Cash",link to dictionary,
دَعَّ,"Turn Down , Rebuff",link to dictionary,
دَعَا,"call , Prayer , Spread",link to dictionary,
دَفَعَ,"Push , Repel , Drive Away",link to dictionary,
دَفِيءَ,Warm,link to dictionary,
دَفَقَ,"Flow , Gush , Flow Out",link to dictionary,
دَقَّ,"Pound , Crush , Grind , Thinness",link to dictionary,
دَكَّ,"Flatten , Beat or Press down , Ram",link to dictionary,
دَلَّ,"Guide , Lead , Prove",link to dictionary,
دَلْو,"Bucket , Inform , Statement, Descend, Inform , Notify",link to dictionary,
دَمَرَ,"Perish , Ruin , Destroyed",link to dictionary,
دَمَعَ,"Tears , Water of eyes",link to dictionary,
دَمَغَ,", Brain, Mark , Refute , Invalidate",link to dictionary,
دَمْدَمَ,"Mutter , Grumble , Growl",link to dictionary,
دَمِيَ,"Blood , Bleed",link to dictionary,
دَنَا,"Close , Near , Inferior, World , Earth",link to dictionary,
دَهَرَ,"Befall , Epoch , Eternity",link to dictionary,
دَهَقَ,"Full , Abundant , Leader. Grandee",link to dictionary,
دَاخَ,"Resign , Sick",link to dictionary,
دَهَمَ,"Sudden , Deep Black",link to dictionary,
دَهَنَ,"Oil , Paint , Deceit",link to dictionary,
دَهِىيَ,"Smart , Shrewd , Calamity",link to dictionary,
دَارَ,"Turn , Around , House , Period",link to dictionary,
دَارَ,"Turn , Around , House , Period",link to dictionary,
دَالَ,"Alternate , Turn , Empire , Power",link to dictionary,
دُون,"Without , Below , Administrative",link to dictionary,
دُون,"Without , Below , Administrative",link to dictionary,
دَامَ,"Last , Endure , Continue",link to dictionary,
دَامَ,"Last , Endure , Continue",link to dictionary,
دَانَ,"Religion , Faith , Creed ,",link to dictionary,
دَينَ,"Borrow , Lend Money , Subjugate, Last Judgment,",link to dictionary,
ذَبَّ,"Chase Away , Defend , Flies , Tip",link to dictionary,
ذَا,"This , Therefore",link to dictionary,
ذَبَحَ,"Slaughter , Kill , Murder",link to dictionary,
ذَبْذَبَ,"Swinging , Oscillating",link to dictionary,
ذِئْب,Wolf,link to dictionary,
ذَرَعَ,"Measure , Beyond one power",link to dictionary,
ذّرّا,"Strew , Scatter , Tiny particle , Progeny , Descendants",link to dictionary,
ذَرَعَ,"Measure , Beyond one power",link to dictionary,
ذَرَّ,"Strew , Scatter , Tiny particle , Progeny , Descendants",link to dictionary,
ذَرَا,"Blow Away , Peak , Refuge",link to dictionary,
ذَعِنَ,"Submit , yield , Compliance",link to dictionary,
ذَكّرَ,"Remember , Recall , Report , Reminder , male",link to dictionary,
ذَقْن,"Beard , Chin",link to dictionary,
ذَلَّ,"Lowly , Submissive , Humble",link to dictionary,
ذَمَّ,"Blame , Conscience",link to dictionary,
ذَمَّ,"Blame , Conscience",link to dictionary,
ذَنْب,"Offense , Sin , Crime , Guilty",link to dictionary,
ذَهَبَ,"Go Away , Depart , Gold ,",link to dictionary,
ذَهَلَ,"Distracted , Alarm , Confused",link to dictionary,
ذُو,"Possessor , Power , Provided",link to dictionary,
ذَاعَ,"Spread , Circulate",link to dictionary,
ذَاقَ,"Taste, Test, Try, Experience,",link to dictionary,
ذُودَ,"Drive Away , Defend , Protect",link to dictionary,
رَأَسَ,"Head , Chief , Leader , Cape",link to dictionary,
رَأَى,"See , Perceive , Duty , Consider , Regard",link to dictionary,
رَأَفَ,"Mercy , Pity Compassionate",link to dictionary,
رَبَّ,"Lord , Master , Owner , Foster father",link to dictionary,
رَبَاء,"High Esteem , Protect , Guard",link to dictionary,
رَبَطَ,"Tie Up , Fasten , Tie Up , Connect",link to dictionary,
رَبِحَ,"Gain , Profit , Win",link to dictionary,
رَبَصَ,"Wait , Lookout , Ambush",link to dictionary,
رَبَعَ,"Commence , Home , Residence , 3 rd and 4th month of Islamic year",link to dictionary,
رَبَا,"Grow , Increase , Exceed , educate a child , Usury",link to dictionary,
رَتَعَ,"Pasture , Graze , Breeding Ground",link to dictionary,
رَتَقَ,"Mend , Repair , Patch up",link to dictionary,
رَتِلَ,"Well Ordered , Slow and distinct reading of Quran",link to dictionary,
رَجَّ,"Shake , Rock , Tremor",link to dictionary,
رجأ,"Postpone , Differ",link to dictionary,
رَجِسَ,"Dirty , Filthy , Unclean",link to dictionary,
رَجَعَ,"Come Back , Return , Resume",link to dictionary,
رَجَزَ,"Uncleanness, Punishment , Sin , Unbelief",link to dictionary,
رَجَفَ,"Tremble , Shake , Shiver",link to dictionary,
رَجَا,"Hope , Look Forward , Region , Side , Direction",link to dictionary,
رَجِلَ,"Walk , Foot , Manhood",link to dictionary,
رَجَا,"Hope , Look Forward , Region , Side , Direction",link to dictionary,
رَجَمَ,"Stone to death , Conjecture , Guesswork , Shooting Star",link to dictionary,
رَحَلَ,"Emigrate , Luggage , Departure , Leave",link to dictionary,
رَحَيق,"Nectar , Delicious Drink ,",link to dictionary,
رَحِبَ,"Wide , generous , Welcome",link to dictionary,
رَحِبَ,"Wide , generous , Welcome",link to dictionary,
رَحِمَ,"Merciful , Compassionate",link to dictionary,
رَخَّ,"Light Shower , Rock , Castle , Soft",link to dictionary,
رَعَنَ,"Frivolous , Careless, Thoughtless",link to dictionary,
رَعَى,"Graze , Guard , Protect , Pasture , Respect , Citizenship",link to dictionary,
رَغُدَ,"Easy , Pleasant , Comfort",link to dictionary,
رَغِبَ,"Desire , Want , Prefer",link to dictionary,
رَفْرَفَ,"Cushion , Pad , Flap wings",link to dictionary,
رَفَتَ,"Break , Crush , Reject , Corpse",link to dictionary,
رَفَثَ,Obscene,link to dictionary,
رِّفَدَ,"Support , Gift",link to dictionary,
رَفَعَ,"Raise , Elevate , Higher Rank , High , Exalted",link to dictionary,
رَفَقَ,"Kind , Company , Companion , Friend, Elbow, Profit",link to dictionary,
رَقَّ,"Thin , Flatten , Delicate , Slave",link to dictionary,
رَقَبَ,"Guard , Greed , Fear of God , Neck , Slave",link to dictionary,
رَقَدَ,"Sleep , Lie Down , Resting Place , Bed",link to dictionary,
رَقَمَ,"Write , Brand , Mark , Inscription , Number",link to dictionary,
رَقَيَ,"Climb , Ascend , Rise",link to dictionary,
رَكِبَ,"Ride , Travel , Embark",link to dictionary,
رَكَدَ,"Motion Less , Still , Stagnant",link to dictionary,
رَكَزَ,"Power, Position, Embed in the ground , Station, Post, Pause , Buried Treasure , Center",link to dictionary,
رَكَسَ,"Setback , Decline",link to dictionary,
رَكَضَ,"Run away , Gallop , Agitated , Stir",link to dictionary,
رَكَعَ,"bow down in prayer , kneeling , Prostration",link to dictionary,
رَكَمَ,"Pile up , accumulate , Heap",link to dictionary,
رَكَنَ,"Calm , Support , Element , Firm",link to dictionary,
رَمَدَ,"Burn to ashes, Sore Eyes",link to dictionary,
رَمَزَ,"Sign , Symbol , Secret Sign",link to dictionary,
رَمَّ,"Repair , Decay , Decaying Bones",link to dictionary,
رَمَى,"Throw , Fling , Hurl",link to dictionary,
رُمَّانٌ,Pomegranate,link to dictionary,
رَمَى,"Throw , Fling , Hurl",link to dictionary,
رَهِبَ,"Fear , Fright , Terror , Monk",link to dictionary,
رَهَطَ,"Gulp , Greedy , Group , Band",link to dictionary,
رَهَنَ,"Pawn , Deposit , Mortgage",link to dictionary,
رَهِقَ,"Overtake , Approach , Puberty , Oppress",link to dictionary,
رَوبَ,"Curdle , Curdle of Milk",link to dictionary,
رَاحَ,"Leave , Wind , Breath , Rest , Free",link to dictionary,
رَهَا,"calm , Peace",link to dictionary,
رَادَ,"Look , Search , Visit , Want , desire",link to dictionary,
رَادَ,"Look , Search , Visit , Want , desire",link to dictionary,
رَاضَ,"Train , garden , Mathematics , Exercise",link to dictionary,
رَاعَ,"Frighten , Alarm , Surprise",link to dictionary,
رَابَ,"Doubt , Question , Skeptical",link to dictionary,
رَوِيَ,"Irrigate , Water , narrate , Novel",link to dictionary,
رَاشَ,"Feathers , Clothes , Wealthy",link to dictionary,
رَانَ,"Seize , Overcome , Prevail",link to dictionary,
رَيعَ,"Increase , Grow , Flourish , Profit , Interest",link to dictionary,
زُبْر,Psalms,link to dictionary,
زَبَدَ,"Foam , Butter , Cream",link to dictionary,
زَبُون,"Foolish , Stupid , Client , Claw , Angels who torment the damned in Hell",link to dictionary,
زَجَّ,"Throw , Hurl , Push , Glass , Bottle , Flask",link to dictionary,
زَجَا,"Push , Urge , Force , Spend",link to dictionary,
زَجَرَ,"Hold Back , Drive Away , Scold , Rebuke",link to dictionary,
زَحْزَحَ,"To Move , Remove, Budge",link to dictionary,
زَحْف,"Creep , Crawl, March , Advance",link to dictionary,
زَخْرَفَ,"Adorn , Decorate , Ornament",link to dictionary,
زَرَبَ,"Flow , Watercourse , Pillow , Rug",link to dictionary,
زَرَعَ,"Plant , Cultivate , Farmer , Agriculture",link to dictionary,
زَرَقَ,"Blue , Real Enemy",link to dictionary,
زَعَمَ,"Maintain , Claim , Believe , Leadership",link to dictionary,
زَفَرَ,"Sigh , Moan , Grease",link to dictionary,
زَفَّ,"Hasten , Hurry",link to dictionary,
زَقَّ,"Feed , Skin , Lane Alley",link to dictionary,
زَكَا,"Grow , Righteous , Pure",link to dictionary,
زَلْزَلَ,"Earthquake , Shake Violently",link to dictionary,
زَلَّ,"Slip , Commit a sin , Mistake",link to dictionary,
زَلَفَ,"Near , Close",link to dictionary,
زَلَفَ,"Near , Close",link to dictionary,
زَلِقَ,"Slip , Slide",link to dictionary,
زَمَرَ,"Troop , Group , Play blow instrument",link to dictionary,
زِلَمَ,"Err, Make Mistake, Headless arrow uswed in divination",link to dictionary,
زَمْهَرَ,"Intensely Cold , Angry",link to dictionary,
زمل,"Party , Companion",link to dictionary,
زَهَرَ,"Shine , Radiant, Flower",link to dictionary,
زَنَى,Adultery,link to dictionary,
زَنَى,Adultery,link to dictionary,
زَهِدَ,"Abstain , Withdraw , Forsake",link to dictionary,
زَاجَ,"Pair , Couple",link to dictionary,
زَهَقَ,"Pass away , Perish",link to dictionary,
زَادَ,"Supply , Provision , Contractor",link to dictionary,
زَارَ,"Visit , Force , Incline, Falsehood",link to dictionary,
زَاغَ,"Deviate from Truth , Swindle",link to dictionary,
زَالَ,"Disappear , Vanish , Remove , Passing",link to dictionary,
زَيْت,Oil,link to dictionary,
زَيدَ,"Grow , Increase , Multiply",link to dictionary,
زَانَ,"Decorate , Adorn , Beautiful",link to dictionary,
سَأَلَ,"Demand , Request , Begging",link to dictionary,
سَبَّ,"Insult , Call Names, Rope, Means, Cause",link to dictionary,
سَبَتَ,"Rest , Saturday",link to dictionary,
سَبَحَ,"Swim , Praise , How far God is away from Imperfection",link to dictionary,
سَبُطَ,"Tribe , Shoe , Lank of Hair, Grandson, Shapely, Generous,",link to dictionary,
سَبْع,"Predatory , Seven",link to dictionary,
سَبَغَ,"Long , Wide , Abundant , Properly, Attribute, Perform Properly,",link to dictionary,
سَبَغَ,"Long , Wide , Abundant , Properly, Attribute, Perform Properly,",link to dictionary,
سَبَقَ,"Precede , Come , go , act",link to dictionary,
سَتَرَ,"Cover , Veil , Hide , Protect",link to dictionary,
سِتَّة,"Sixteen , Six",link to dictionary,
سَبَلَ,"Way , Road , Access , Way",link to dictionary,
سَجَدَ,"Bow down , Prostrate , Worship",link to dictionary,
سَبَلَ,"Way , Road , Access , Way",link to dictionary,
سَجَلَ,"Documents , Records , Pouring",link to dictionary,
سَجَنَ,"Jail , Imprisoned , Captive",link to dictionary,
سَجَا,"Calm , Quite of the night sea , nature , Disposition",link to dictionary,
سَجَا,"Calm , Quite of the night sea , nature , Disposition",link to dictionary,
سَحَبَ,"Cloud, Pull , Drag , Dispose , Strip",link to dictionary,
سَحَرَ,"Magic , Charm , Daybreak",link to dictionary,
سَحَقَ,"Distant, Remote, Depth, Crush , Pound , Pulverize",link to dictionary,
سُحْتَ,"Forbidden , Illegal",link to dictionary,
سّاحِل,"Scrap, Smooth, Plane, Coast, Seashore",link to dictionary,
سَخَرَ,"Subjugate, Subservient, Employ, Exploit , Mock , Ridicule , Laugh , Oppressed",link to dictionary,
سَخَطَ,"Angry , Annoyed , Discontent",link to dictionary,
سَدَّ,", Obstruct, Close , Block , Oppressed, Payment, Right thing to Say",link to dictionary,
سَدَّ,", Obstruct, Close , Block , Oppressed",link to dictionary,
سَدِرَ,"Lotus Tree , To Achieve ultimate Results , Confused",link to dictionary,
سَدَّى,"Warp , Prevailing Character , Dominant Theme, In Vain, Uselessly,",link to dictionary,
سُّدُس,"One Sixth , Six Fold ,",link to dictionary,
سَرِبَ,"Flow , Flock , Swarm , Mirage",link to dictionary,
سَرَّ,"Make Happy , Secret , Secret meaning of Quran",link to dictionary,
سَرَّ,"Make Happy , Secret , Secret meaning of Quran",link to dictionary,
سُرَادِق,"Large Tent , Canopy , Pavilion",link to dictionary,
سَرَحَ,"Go away, roam freely , Pasture , Let go from Divorce",link to dictionary,
سَرَدَ,"Pierce , Perforate , Quote",link to dictionary,
سَرْبَلَ,"Wrap , Clothed , Covered",link to dictionary,
سَرْج,"Lamp , Light",link to dictionary,
سَرَف,"waste , Extravagant , Squander",link to dictionary,
سَرَقَ,"Steal , Rob , Theft",link to dictionary,
سَرُعَ,"quick , Fast , Rapid , Hurry",link to dictionary,
سَرْمَد,Eternity,link to dictionary,
سَرَى,"Travel by night , Enforce , Apply, Creek , Brook , Spread",link to dictionary,
سَرَى,"Travel by night , Enforce , Apply, Creek , Brook , Spread",link to dictionary,
سَطَرَ,"Rules , Draw Lines , Write , Record",link to dictionary,
سَطَحَ,"Spread , Level , Flatten , Surface'",link to dictionary,
سَطَا,"Assault , Attack , Burglary",link to dictionary,
سَعَرَ,"Kindle , Flare up , Start , Become Mad",link to dictionary,
سَعَرَ,"Kindle , Flare up , Start , Become Mad",link to dictionary,
سَعِدَ,"Happy , Fortunate , Help , support",link to dictionary,
سَغَبَ,"Starve , Hungry",link to dictionary,
سَفَحَ,"Spill , Blood Shed , Fornicate",link to dictionary,
سَعَى,"Run , Speed , Attempt , Strive",link to dictionary,
سَفَرَ,"Travel , Passenger , Unveil , Embassy , Book (one of Scripture)",link to dictionary,
سَفَكَ,"Bloodshed , Murder",link to dictionary,
سَفَلَ,"Low , Despicable , Lowly People",link to dictionary,
سَفِهَ,"Stupid , Foolish , Incompetent",link to dictionary,
سَقَطَ,"Fall , Drop , Slip",link to dictionary,
سَفِن,"Ship , Boat , Vessel",link to dictionary,
سَقَمَ,"Become Sick , Illness , Thinness",link to dictionary,
سَقَى,"Drink , Water , Irrigate",link to dictionary,
سَقَفَ,"Roof , Ceiling",link to dictionary,
سَكَتَ,"Silent, Quite , Calm, Stroke,",link to dictionary,
سَكِرَ,"Drunk , Intoxicated",link to dictionary,
سَكِرَ,"Drunk , Intoxicated",link to dictionary,
سَكِرَ,"Drunk , Intoxicated",link to dictionary,
سكَبَ,"Pour Out , Melting Pot",link to dictionary,
سَكَنَ,"Still , Calm Down , Inhabitation , Dwelling",link to dictionary,
سَلَبَ,"Take , Snatch , Steal , Robbing",link to dictionary,
سَلَّ,"Withdraw , Gently , Basket",link to dictionary,
سَلَّ,"Withdraw , Gently , Basket",link to dictionary,
سَلَخَ,"Strip , Skin , Detach, Pass, Withdraw, End of month , Abandon, Cast off",link to dictionary,
سَلْسَلَ,"Link Together , Connect , Chain",link to dictionary,
سُلَط,"Power , Authority , Strong , Firm",link to dictionary,
سَلَفَ,"Past , Precede , Forefathers , Ancestors",link to dictionary,
سَلَقَ,"Vicarious tongue , Climbing , Ascend",link to dictionary,
سَلَكَ,"Follow , Insert , Proceed , Thread",link to dictionary,
سُلَط,"Power , Authority , Strong , Firm",link to dictionary,
سَلِمَ,", Safe , Sound , Peaceful , Sound , Perfect , Ladder, Stair case, Complete",link to dictionary,
سَمَّ,"Poison , Venom , Eye of a needle, Hot Wind",link to dictionary,
سلو,"Forget, Consolation, Comfort.",link to dictionary,
سَمَدَ,"Raise ones head proudly , Fertilizer",link to dictionary,
سَمَرَ,"Pleasant , night of Entertainment",link to dictionary,
سَمَعَ,"Hear , Listen , Pay Attention",link to dictionary,
سَمْك,"Fish , Roof , Ceiling , Thickness",link to dictionary,
سَمَا,"Sky , Heaven , High , Exalted",link to dictionary,
سَمَنَ,"Fat , Put On Weight , Butter",link to dictionary,
سَمِي,"Name , Sense , In the name of God , For a limited period",link to dictionary,
سَمِي,"Name , Sense , In the name of God , For a limited period",link to dictionary,
سَنَّ,"Sharpen , Establish Law , Prong , Fang , Tip , Tooth , Age",link to dictionary,
سُنْبُل,Ear of grain,link to dictionary,
سَنَدَ,"Support one self , Authority , Document , Chain of Authorities of Islamic rule",link to dictionary,
سُنْدُس,"Silk , Brocade",link to dictionary,
سَنَا,"Shine , Flash of light (Lightning) , Brilliant",link to dictionary,
سَنَه,"Annually , Spoil , Stale of food",link to dictionary,
سَنَته,"Year , Annual , Yearly",link to dictionary,
سَهُلَ,"Even of the Ground , Smooth , Easier",link to dictionary,
سَنَته,"Year , Annual , Yearly",link to dictionary,
سَهِرَ,"Pass the night , Awake , Evening Show",link to dictionary,
سنم,"Height , Peak , To Ascend to greatest honor",link to dictionary,
سَهَا,"Inattentive , Neglect , Forget",link to dictionary,
سَا ءَ,"Bad , Evil , Unfortunate",link to dictionary,
سَا ءَ,"Bad , Evil , Unfortunate",link to dictionary,
سَادَ,"Master , Head , Chief , Ruler , Governor",link to dictionary,
سَوَاد,"Black , dark , Arable Land , Mass , Disgrace",link to dictionary,
سَوَاد,"Black , dark , Arable Land , Mass , Disgrace",link to dictionary,
سُور,"Fence , Wall , Fortification , Chapter of Quran , Assault",link to dictionary,
سَاطَ,"Whip , Lash , Flog",link to dictionary,
سَاعته,"Short Time , Hour , Watch , Clock",link to dictionary,
سَاغَ,"Easy to Swallow , Tasty , Permissible",link to dictionary,
سُوَار,"Bracelet , Armband , Cuff",link to dictionary,
سَاقَ,"Trunk, Stem , Drive , Herd , Carry Away , Market , Leg,",link to dictionary,
سَامَ,"Offer , Sale , Bargain , Graze freely",link to dictionary,
سَأَلَ,"Question , Ask , Demand , Request",link to dictionary,
سَوِيَ,"Equal , Correct , Equator , Mount , Sit on",link to dictionary,
سَيلَ,"Flow, Flood, , Stream , River Bed, Melting ,",link to dictionary,
سَارَ,"Start , Depart , March , Way of life",link to dictionary,
سَارَ,"Start , Depart , March , Automobile , Taxicab , Way of life",link to dictionary,
ساح,"Travel , Journey , Flow , Dissolve , Melt",link to dictionary,
َسَاح,"Travel , Journey , Flow , Dissolve , Melt",link to dictionary,
سَالَ,"Flow , Flood , Torrent",link to dictionary,
سَالَ,"Flow , Flood , Torrent",link to dictionary,
سِيمَا,"Mark , Characteristic , Expression",link to dictionary,
شَأَن,"Matter , Affairs , Business",link to dictionary,
شَبه,"Resemblance , Doubt , Image , Suspicion , Obscure",link to dictionary,
شَتَّ,"Scatter , Disperse , Diverse",link to dictionary,
شَتَا,"Winter , Rain",link to dictionary,
شَجَرَ,"Trees , Wood , Branch , Quarrel , pierce",link to dictionary,
شَحَنَ,"Load , Ship , Police , Cargo , hate",link to dictionary,
شَحُمَ,"Fat , Grease , Lubricant",link to dictionary,
شَحَّ,"Niggardly , Greedy , Scarce",link to dictionary,
شَخَصَ,"Rise , Appear , Stare , Gaze , Leave , Dispatch , Person , Individual , Diagnose",link to dictionary,
شَدَّ,"Very , Very often , firm , strong",link to dictionary,
شَرَحَ,"Cut , Open , Describe , Explain",link to dictionary,
شَرِبَ,"Drink , Soup",link to dictionary,
شَرَّ,"Evil , Ill , Harm , Wicked",link to dictionary,
شَرَدَ,"Flee , Running Away , Defector",link to dictionary,
شَرَطَ,"Rip Open , Condition , Contract , Police , Scratch , Agreement",link to dictionary,
شِرْذِمَته,"Group , Band",link to dictionary,
شَرَعَ,"Begin , start , Make Laws , Legality",link to dictionary,
شَرَعَ,"Begin , start , Make Laws , Legality",link to dictionary,
شَرَقَ,"East , Place of rise , Shine , Radiance",link to dictionary,
شَرِكَ,"Share , Partner , Idolatry , False",link to dictionary,
شَتَرَ,"Cut off , Rip off",link to dictionary,
شَرَى,"Buy , Purchase , Artery , Jupiter , Exposed to the sun for drying",link to dictionary,
شَاطِئِ,"Sea Shore , Coast , Beach",link to dictionary,
شَطَرَ,"Bisect , Severe , Share , Division , Direction , Towards , Clever",link to dictionary,
شَطَّ,"Go too far , Excessive , Coast , shore , bank",link to dictionary,
شَظِيَ,"Splintered , Shatter , Shinbone , Bone",link to dictionary,
شعب,"People , Nation , Branch , twig , Eighth month of the year",link to dictionary,
شَعَرَ,"Sense , Realize , Poetry , Barley , Hair ,",link to dictionary,
شَعَرَ,"Sense , Realize , Poetry , Barley , Hair ,",link to dictionary,
شَعَلَ,"Light , Set on Fire , Blaze , Flame",link to dictionary,
شَغَفَ,"Infatuated , Extremely in fond of love ,",link to dictionary,
شَغَلَ,"Busy , Occupation , Job , Business",link to dictionary,
شَفَعَ,"Intercessor , Mediator , Double , Even",link to dictionary,
شَفِقَ,"Twilight, Dusk, Pity , Sympathy , Compassionate",link to dictionary,
شَفاً,"Edge , Brink , Oral , Doomed to death",link to dictionary,
شَقَّ,"Split , Tear , Break , Hardship",link to dictionary,
شَفَى,"Cure , Heal , Health , Hospital",link to dictionary,
شَكُسَ,"Quarrel , Dispute , Ill-tempered",link to dictionary,
شْقَى,", Hardship, Distress,Misreable, Naughtgy, Outlaw, Crimnal",link to dictionary,
شَكَرَ,"Thank , Gratitude , Acknowledge , Praise",link to dictionary,
شَكَّ,"Doubt , Suspect , Pierce",link to dictionary,
شَكَا,"Niche , Lamp , Complain , Grievance",link to dictionary,
شَكَلَ,"Way , Figure , Shape , Difficulty , Sort",link to dictionary,
شَكَلَ,"Way , Figure , Shape , Difficulty , Sort",link to dictionary,
شَمَخَ,"High , Lofty , Arrogant , Haughty",link to dictionary,
شَمَّ,"Proud , Haughty , Smell",link to dictionary,
شَنَأَ,"to hate, hatred",link to dictionary,
شمأز,"Disgust , Nauseated",link to dictionary,
شَمَسَ,"Sun , Sunrise , Bright",link to dictionary,
شَمِلَ,"Contain, Comprise , Inclusion",link to dictionary,
شِمَال,"North , Left",link to dictionary,
شَهِدَ,"Witness , Confirm , Certify , Honey",link to dictionary,
شَهَبَ,"Blaze , Fire , Shooting Star , Meteor , Gray",link to dictionary,
شَهَا,"Desire , Crave , Appetite , Passion , Lewd ,",link to dictionary,
شَهَرَ,"Well known , Famous , Spread , Monthly",link to dictionary,
شَهَقَ,"Bray of Donkey , Sigh Deeply , Sob , Moan , Inhale , Lofty , Heights",link to dictionary,
شَوب,"Mix , Adulterate , Hot wind",link to dictionary,
شَور,"Council , Advise , Point out , Indicate",link to dictionary,
شَاكَ,"Sting , Prick , Thorne , Spike, Bravery , Might",link to dictionary,
شَوَى,"Broil , Grill , Roast",link to dictionary,
شَابَ,"Gray Hair , Old Age",link to dictionary,
شَاخَ,"Old Man , Elder , Chief , Sheikh",link to dictionary,
شَيَطن,"Satan , Devil , Infernal",link to dictionary,
شَادَ,"Erect , Build , High Lofty , Praise , Commend",link to dictionary,
شِاءَ,"Will , Desire , God Willing , Thing , Something , Gradually",link to dictionary,
شَاعَ,"Sect, Partner, Spread , Dominate , Followers , Shiites",link to dictionary,
صَبَرَ,"Patient , Endue , Refrain , Abstain",link to dictionary,
صَبَّ,"Pour , cast , Flow , Befall , Apply oneself , Passionately in Love",link to dictionary,
صَبُحَ,"Morning , Beautiful , Graceful , Radiant",link to dictionary,
صَبَا,"Child , Youth ,",link to dictionary,
صَبَعَ,"Finger , Toe , Point with the finger",link to dictionary,
صَبَغَ,"Appearance, Nature, Character , Dye , Color , Transform",link to dictionary,
صَحِبَ,"Friend , Companion , Leader of Dervish order",link to dictionary,
صَخْرَ,"Stone , Rock , Boulder",link to dictionary,
صَدَّ,"Turn away , Repel , stop , Prevention , Purpose , Subject , Regard",link to dictionary,
صحف,"Dish , Page , Leaf , Sheet , Press , Journalism",link to dictionary,
صَدَرَ,"To go out , Chest , Breast , Bosom , Heart , Presidency , Verbal Noun",link to dictionary,
صَدَفَ,"To Turn away , Meet accidentally , Coincidence",link to dictionary,
صَدَعَ,"Reveal the truth, Break , Crack , Overcome , Headache",link to dictionary,
